bigram	score	is-math-concept	sentence
trader guideline	24.15	0	# sent_id = email-enronsent35_01-0131 # newpar id = email-enronsent35_01-p0021 # text = Mark Elliott tells me that you drafted some trader guidelines (physical and financial) for the London traders. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
gas accord	24.15	0	
other customer	24.15	0	# sent_id = email-enronsent05_02-0018 # text = * Offers a 7.5 cent/dth rate to large customers while minimizing rate changes to other customers, minimizing the incentive for these customers to seek to bypass local transmission charges and other CPUC-approved charges. * 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
good wish	24.15	0	
long term	24.15	0	# sent_id = email-enronsent37_01-0036 # text = This financing activity was primarily started to help ENA secure long term well head and pipeline natural gas supplies to supplement the gas trading desk activities. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
short term	24.15	0	# sent_id = email-enronsent37_01-0057 # text = these are short term transactions and requiring this documentation will cause us to lose business because competitive alternatives do not have such burdensome requirements. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
short form	24.15	0	# sent_id = email-enronsent38_01-0024 # newpar id = email-enronsent38_01-p0008 # text = I have attempted to incorporate the changes that Jim has incorporated in our long form power agreement which ENA has suggested to date into the short form. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
eei master	24.15	0	
credit person	24.15	0	# sent_id = email-enronsent38_01-0047 # text = Our letter of credit person would be more comfortable if we deleted all of the language that makes the LC transferable. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
other comment	24.15	0	# sent_id = email-enronsent38_01-0057 # text = In addition to my other comments on the Mid Market Power Form, I think you should add a forward contract rep. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
deal no.	24.15	0	
hotline phone	24.15	0	
electricity producer	24.15	0	# sent_id = email-enronsent07_01-0024 # text = A state Senate committee is set today to start serving 16 subpoenas on electricity producers and officials who manage California's energy grid to determine whether they acted in concert to manipulate energy prices. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20-21 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
federal official	24.15	0	# sent_id = email-enronsent07_01-0048 # text = In the Oct. 31 letters, electricity producers told federal officials that if price caps weren't removed it would lead to a collapse of the energy market. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16-17 16 17 18 19 20 21 22 23 24 25 26 27 28 29
insurance company	24.15	0	# sent_id = email-enronsent33_01-0034 # newpar id = email-enronsent33_01-p0011 # text = In the three years I have been here, I am unaware of an ENA/ECT bad faith claim against any insurance company. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
whole time	24.15	0	# sent_id = email-enronsent33_01-0052 # newpar id = email-enronsent33_01-p0014 # text = Not when I was there, but I wasn't there the whole time. 1 2 3 4 5 6 7 8 9-10 9 10 11 12 13 14 15
contact person	24.15	0	# sent_id = email-enronsent33_01-0081 # text = Please ask her to be the contact person. 1 2 3 4 5 6 7 8 9
business transaction	24.15	0	# sent_id = newsgroup-groups.google.com_misc.consumers_628669ce346c590d_ENG_20040527_065700-0009 # text = I came to know of you in my search for a reliable and reputable person to handle a very confidential business transaction, which involves the transfer of a huge sum of money to an account requiring maximum confidence. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
oil revenue	24.15	0	# sent_id = newsgroup-groups.google.com_misc.consumers_628669ce346c590d_ENG_20040527_065700-0012 # text = In the decade of the nineteen-eighties, my father, then vice-president of the United States of America, sought to work with the good offices of the President of the Republic of Iraq to regain lost oil revenue sources in the neighboring Islamic republic of Iran. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
emergency team	24.15	0	# sent_id = newsgroup-groups.google.com_IndiaNewsWindow_1405662573fa84ed_ENG_20050831_110400-0017 # text = Walls keeping water out of the bowl-shaped city have been breached, and emergency teams are using helicopters to drop 1,350kg (3,000lb) sandbags and concrete barriers into the gaps. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
natural disaster	24.15	0	# sent_id = newsgroup-groups.google.com_IndiaNewsWindow_1405662573fa84ed_ENG_20050831_110400-0044 # newpar id = newsgroup-groups.google.com_IndiaNewsWindow_1405662573fa84ed_ENG_20050831_110400-p0008 # text = The US Red Cross has mobilised thousands of volunteers for its biggest-ever natural disaster effort and federal emergency teams are being dispatched to affected areas. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
benefit fund	24.15	0	# sent_id = newsgroup-groups.google.com_eHolistic_2dd76f31ceb6bfe8_ENG_20050513_224200-0006 # text = That band is involved in a local competition which promises a $5000 first prize, which they would like to win in order to donate it to the benefit fund which they have started. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
big city	24.15	0	# sent_id = answers-20111108101300AAIAKXN_ans-0026 # text = Naha's not a very big city. 1-2 1 2 3 4 5 6 7 8
infinite peace	24.15	0	# sent_id = newsgroup-groups.google.com_Meditation20052_06390a5f75b2e1f2_ENG_20050316_091700-0049 # text = Feel you're completely surrounded by that infinite peace and happiness. 1 2-3 2 3 4 5 6 7 8 9 10 11 12
federal judge	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0169 # text = 46 - Percentage of Republican federal judges when Bush came to office. 1 2 3 4 5 6 7 8 9 10 11 12 13
animal right	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0003 # newpar id = newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-p0002 # text = I'm a member of a local animal rights news, and get regular emails from other members and the staff. 1-2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
mailing list	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0034 # text = However, the money made from the mailing lists is secondary to income which is made from people like you and me asking to be included in that list. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
mountain lion	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals_02c2d614bfbf6b20_ENG_20050223_232900-0054 # text = There are only about 850 wolves in the West, but there are an estimated 31,000 mountain lions. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
racial diversity	24.15	0	# sent_id = newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0047 # text = There is a lot of racial diversity in all of these places... and I've vacationed through the south... visited my folks when they lived in Mississippi, and where they live now and are in the racial minority being white (less than 20%) in northeastern Arkansas. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15-16 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
family member	24.15	0	# sent_id = newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0077 # text = The family here (California) wanted to fly any family members from there to CA, so they could remain here until things got straightened out down there. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
main puppet	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals_434fe80fb3577e8e_ENG_20031011_200300-0007 # text = The antichrist John Lennon, one of the Devil's main puppets to destroy family, social and moral values and to begin the disintegration of mankind, did hit Stuart Sutcliffe (the first bass player of the Beatles) in the head with a club repeatedly in Hamburg. 1 2 3 4 5 6 7 8 9-10 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
political power	24.15	0	# sent_id = newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0018 # text = Much of the violence aimed at American forces is coming from disgruntled Sunni factions that have their own militias, believe the last elections were a sham, and hold little political power in the government. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
american military	24.15	0	
case scenario	24.15	0	# sent_id = newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0112 # text = In the worst-case scenario, the newly-minted American order of battle requiring the use of nuclear weapons to rescue a surrounded and imperiled force could come into play, hurling the entire planet into military and diplomatic bedlam. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
political cover	24.15	0	# sent_id = newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0128 # text = The invasion of Iraq provided marvelous political cover for the GOP not only during those midterms, but during the 2004 Presidential election. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
dioxide emission	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0011 # newpar id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-p0002 # text = 25 - Percentage of overall worldwide carbon dioxide emissions the United States is responsible for. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
percentage decline	24.15	0	
same period	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0044 # text = 104 - Number of Bush administration public statements on National security and defense in the same period that mentioned Iraq or Saddam Hussein. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
capital gain	24.15	0	# sent_id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0129 # newpar id = newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-p0037 # text = 75 - Percentage of Americans unaffected by Bush's sweeping 2003 cuts in capital gains and dividends taxes. 1 2 3 4 5 6 7 8-9 8 9 10 11 12 13 14 15 16 17 18 19
dividend tax	24.15	0	
digital camera	24.15	0	# sent_id = answers-20111108075853AAUIKRQ_ans-0002 # newpar id = answers-20111108075853AAUIKRQ_ans-p0002 # text = hi everyone....just hav my hands on my new OLYMPUS X940 digital camera..wel,i always wanted 2 hav one by sony..but anyways,ended up having olympus X940 from my dad.......does any1 already has it? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
migrant visa	24.15	0	# newdoc id = answers-20111106155648AAvG7DN_ans # sent_id = answers-20111106155648AAvG7DN_ans-0001 # newpar id = answers-20111106155648AAvG7DN_ans-p0001 # text = New Zealand skilled migrant visa? 1 2 3 4 5 6
mouse poison	24.15	0	# newdoc id = answers-20111108101816AAdTp9M_ans # sent_id = answers-20111108101816AAdTp9M_ans-0001 # newpar id = answers-20111108101816AAdTp9M_ans-p0001 # text = Is there any cure for mouse poison? 1 2 3 4 5 6 7 8
dry clay	24.15	0	# sent_id = answers-20111107194625AAAUBXm_ans-0015 # newpar id = answers-20111107194625AAAUBXm_ans-p0003 # text = air dry clay works on armatures , the clay has a minor shrink percent, so you can leave the wire armature inside, paint with acrylic paint 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
old kitten	24.15	0	# sent_id = answers-20111108105225AAAJ9ek_ans-0003 # newpar id = answers-20111108105225AAAJ9ek_ans-p0002 # text = i have a 3-4 month old kitten and i live in forida. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
baby fish	24.15	0	# newdoc id = answers-20111108100918AATaSIx_ans # sent_id = answers-20111108100918AATaSIx_ans-0001 # newpar id = answers-20111108100918AATaSIx_ans-p0001 # text = How do I take care of my newborn baby fish? 1 2 3 4 5 6 7 8 9 10 11
jack dempsey	24.15	0	# sent_id = answers-20111108100918AATaSIx_ans-0010 # text = some parents would not eat there fish till a certain age jack dempsey for example would not eat there offspring till they mature but i would move the baby fish into a smaller tank and feed them flakes 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
next door	24.15	0	# sent_id = answers-20111108093211AA8bYFE_ans-0002 # newpar id = answers-20111108093211AA8bYFE_ans-p0002 # text = I'm getting a dwarf Hamster tomorrow And i was just talking to my Mom and she said that we have to take out the wheel at night because it would disturb her sleep But i told her no because i said their energetic at night at my room is right next door to hers But i heard their are wheels that dont make noise at all what would be the price of it? 1-2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43-44 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64-65 64 65 66 67 68 69 70 71 72 73 74 75 76 77
boarding station	24.15	0	# newdoc id = answers-20111108072912AAccket_ans # sent_id = answers-20111108072912AAccket_ans-0001 # newpar id = answers-20111108072912AAccket_ans-p0001 # text = Change of boarding station? 1 2 3 4 5
good person	24.15	0	# sent_id = reviews-278775-0010 # text = Finally, it must be said that Stuart is a fantastic person to work with, because of his solid strategies and equally as importantly because he is a genuinely good person and a great communicator. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
other phone	24.15	0	# sent_id = answers-20111108084111AAl5ras_ans-0002 # newpar id = answers-20111108084111AAl5ras_ans-p0002 # text = I have 2 phones running on the same line and the ADSL which is connected to one of the phones and the filter, I'm still getting a buzzing noise even when I have disconnected the other phone without one. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25-26 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42
mm film	24.15	0	# newdoc id = answers-20111108083256AAnI6Wt_ans # sent_id = answers-20111108083256AAnI6Wt_ans-0001 # newpar id = answers-20111108083256AAnI6Wt_ans-p0001 # text = Best way to change 35mm film in Holga 120 whilst out and about? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
cheap surgeon	24.15	0	
high quality	24.15	0	# sent_id = answers-20111108105400AASqPIh_ans-0015 # newpar id = answers-20111108105400AASqPIh_ans-p0004 # text = The cheapest *high quality* plastic surgeons are at Yanhee Hospitals. 1 2 3 4 5 6 7 8 9 10 11 12 13
cat food	24.15	0	"# sent_id = answers-20111108110044AA4rs9f_ans-0005 # newpar id = answers-20111108110044AA4rs9f_ans-p0003 # text = If you knew what kind of ""meat"" they put in canned cat food you'd understand this. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16-17 16 17 18 19 20"
old female	24.15	0	# sent_id = answers-20111108105919AAHXkZF_ans-0014 # text = Ive had cats for 35 years and the oldest cat I've ever had was a 23 year old female and she was exceptional. 1-2 1 2 3 4 5 6 7 8 9 10 11 12-13 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
trail riding	24.15	0	# newdoc id = answers-20111108094831AAnOjgr_ans # sent_id = answers-20111108094831AAnOjgr_ans-0001 # newpar id = answers-20111108094831AAnOjgr_ans-p0001 # text = Whats your favorite part about trail riding? 1-2 1 2 3 4 5 6 7 8 9
protein skimmer	24.15	0	# sent_id = answers-20111108103158AARnMLC_ans-0009 # text = Do I need a protein skimmer or any other equipment? 1 2 3 4 5 6 7 8 9 10 11
major difference	24.15	0	# sent_id = answers-20111108082304AAEbrNs_ans-0003 # text = Some of the major differences I see is the HD video, longer battery life, and faster processor that the NOOK Tablet boasts. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
fish tank	24.15	0	# newdoc id = answers-20111108103211AA4XhnU_ans # sent_id = answers-20111108103211AA4XhnU_ans-0001 # newpar id = answers-20111108103211AA4XhnU_ans-p0001 # text = How to start a new fish tank? 1 2 3 4 5 6 7 8
cell phone	24.15	0	# sent_id = answers-20111108103333AA3eSCk_ans-0010 # text = The only way to know for sure is to call 611, or your cell phone help line, and ask. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
entire life	24.15	0	# sent_id = answers-20111107233110AAmgsVx_ans-0007 # text = ... Ive been living in Fujairah my entire life and I must say that it is developing in a good way. 1 2-3 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
only place	24.15	0	# sent_id = answers-20111106215236AAycANO_ans-0003 # text = I was gonna have a dinner party that night but my cousin is having Having her bridal shower so brunch is it but the only places I know are denny's and ihop. 1 2 3-4 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31-32 31 32 33 34 35
cruise ship	24.15	0	# sent_id = answers-20111107193815AAhaJjy_ans-0007 # text = If you ever go on a cruise ship, you will be required to attend a SOLAS muster drill (lifeboat drill) within 24 hours of sailing. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
modern m	24.15	0	# sent_id = newsgroup-groups.google.com_FOOLED_1bf9cdc5a4c2ac48_ENG_20050904_130400-0049 # text = Let me put it this way - If you have watched TV recently, crossed a modern bridge, flown in an airplane, recieved any form of modern medicine, did any mathematics, drove a car, used a cellular phone, etc. then you have somehow directly reaped the rewards which NASA has returned to us. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
perfect place	24.15	0	# sent_id = answers-20090605110235AAALlCt_ans-0005 # text = With the sun shinning down on the spray, creating a rainbow in the foreground, this is the perfect place to get that trademark Iguazu Falls photograph. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
medical exam	24.15	0	# sent_id = answers-20111108111128AAwfype_ans-0005 # text = do you have to go through a medical exam right away? 1 2 3 4 5 6 7 8 9 10 11 12
light fixture	24.15	0	# sent_id = answers-20111108090616AAv6fpU_ans-0014 # text = There are also some distracting background elements like the light fixture and what looks like a door handle on the left. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
unique custom	24.15	0	# newdoc id = answers-20111107144339AA0qw5S_ans # sent_id = answers-20111107144339AA0qw5S_ans-0001 # newpar id = answers-20111107144339AA0qw5S_ans-p0001 # text = what are some unique customs in ireland? 1 2 3 4 5 6 7 8
scary movie	24.15	0	# sent_id = answers-20111108102810AAfCh1W_ans-0007 # text = If so, then does that mean that if you watched a scary movie and your dog/cat/parrot was in the same room as you they will also get scared? 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
world cruise	24.15	0	# sent_id = answers-20111108083754AAEw5Xc_ans-0008 # newpar id = answers-20111108083754AAEw5Xc_ans-p0003 # text = 1. Here's a site that lists world cruises including prices. 1 2 3-4 3 4 5 6 7 8 9 10 11 12 13
melting point	24.15	0	# sent_id = answers-20111108051456AAQJaXR_ans-0005 # newpar id = answers-20111108051456AAQJaXR_ans-p0003 # text = I would recommend to start with something more simple like tin, pewter, aluminum or zinc, they all have a much more reasonable melting point. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
new pet	24.15	0	# sent_id = answers-20111108104350AAp4hGP_ans-0018 # text = Prove, to your parents' satisfaction, that you, not they, will be the one actually taking care of your new pet. 1 2 3 4 5-6 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
first experience	24.15	0	# sent_id = answers-20111108104352AASs5OZ_ans-0004 # text = This is my first experience and I have two six week old kittens right now and am at my wits end. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20-21 20 21 22 23
german shepherd	24.15	0	
golden wonder	24.15	0	# sent_id = answers-20111108105520AA73Axw_ans-0013 # text = I think that you understand that your largest and smallest golden wonders are males. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
fresh tap	24.15	0	# sent_id = answers-20111108105520AA73Axw_ans-0033 # text = Ironically sometimes it is wise to leave the newly picked eggs in fresh tap water with some chlorination to kill microscopic critters that ride in with the eggs. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
tap water	24.15	0	# sent_id = answers-20111108105520AA73Axw_ans-0033 # text = Ironically sometimes it is wise to leave the newly picked eggs in fresh tap water with some chlorination to kill microscopic critters that ride in with the eggs. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
great experience	24.15	0	# sent_id = answers-20111108065616AAKtL2c_ans-0005 # text = Any tips or advice to make this a great experience?? 1 2 3 4 5 6 7 8 9 10 11
weight loss	24.15	0	# sent_id = answers-20111108104724AAuBUR7_ans-0019 # text = He is still showing no signs other than the weight loss, and some muscle atrophy. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
treatment option	24.15	0	# sent_id = answers-20111108104724AAuBUR7_ans-0057 # text = Looked at studies, treatment options and such. 1 2 3 4 5 6 7 8 9
garage door	24.15	0	# sent_id = reviews-341397-0002 # text = they fixed my garage doors in literally less than an hour. 1 2 3 4 5 6 7 8 9 10 11 12
driving school	24.15	0	# newdoc id = reviews-228731 # sent_id = reviews-228731-0001 # newpar id = reviews-228731-p0001 # text = prepared the road test with a driving ... prepared the road test with a driving school in edmonton, but my instructor only trained me in a narrow street, hence I took one 90 minute lesson from the Noble driving school to learn the skill of changing lane, and found them very friendly and professional. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58
great customer	24.15	0	# sent_id = reviews-346627-0005 # text = Thank you again for great customer service! 1 2 3 4 5 6 7 8
excellent customer	24.15	0	
friendly staff	24.15	0	# sent_id = reviews-295491-0003 # text = Clean, updated room, friendly staff, safe location. 1 2 3 4 5 6 7 8 9 10 11
great work	24.15	0	# sent_id = reviews-090643-0005 # text = Thanks for doing such great work on my important pieces of clothing that always look great! 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
rude service	24.15	0	# sent_id = reviews-248027-0002 # text = Twice for dinner and once for lunch Absolutely rude service every time! 1 2 3 4 5 6 7 8 9 10 11 12 13
amazing picture	24.15	0	# sent_id = reviews-332476-0003 # text = She gave me amazing pictures at an amazing price and made my wedding day so memorable. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
wedding day	24.15	0	# sent_id = reviews-332476-0003 # text = She gave me amazing pictures at an amazing price and made my wedding day so memorable. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
mexican food	24.15	0	# sent_id = reviews-004574-0003 # text = It is hard to find...and the mexican food is bland, almost equivalent to eating out of a can. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
portion size	24.15	0	# sent_id = reviews-329991-0003 # text = I was very happy with the customer service and even more please with the portion size, to go box set up and quality of the food for the price. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
local business	24.15	0	# newdoc id = reviews-127157 # sent_id = reviews-127157-0001 # newpar id = reviews-127157-p0001 # text = great service/deals - support this local business 1 2 3 4 5 6 7 8 9
nice people	24.15	0	# newdoc id = reviews-164937 # sent_id = reviews-164937-0001 # newpar id = reviews-164937-p0001 # text = Super nice people, really good food 1 2 3 4 5 6 7
excellent food	24.15	0	# sent_id = reviews-231203-0010 # text = Nice local pub, excellent food (especially wings), and don't go if you have a limited amount of time. 1 2 3 4 5 6 7 8 9 10 11 12 13-14 13 14 15 16 17 18 19 20 21 22 23 24
sale man	24.15	0	
bad place	24.15	0	
star hotel	24.15	0	# sent_id = reviews-023620-0003 # text = The whole experience shows a hotel managed by what must be a 2 star hotel manager. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
bad service	24.15	0	# sent_id = reviews-376503-0004 # text = Very high pressured sales and with the reviews of many others bad service. 1 2 3 4 5 6 7 8 9 10 11 12 13 14
bloody mary	24.15	0	# sent_id = reviews-235576-0003 # text = Without a doubt the best place to grab a tall bloody mary and some eggs benedict. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
different treatment	24.15	0	# sent_id = reviews-180886-0004 # text = He was incredibly informative about the options I had, giving me opinions on different treatments to choose from. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
long line	24.15	0	# sent_id = reviews-317846-0004 # text = Best of all, the staff is quick on their feet and even with long lines, usually serve you in 5 minutes or less. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
same price	24.15	0	# sent_id = reviews-074896-0002 # newpar id = reviews-074896-p0002 # text = I could easily go to Nordstrom for my designer jeans and pay the same price, but I go to the Garment District for their service. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
free parking	24.15	0	# sent_id = reviews-310032-0009 # text = Go to the website for coupons and join the club -you can get free parking. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
parking lot	24.15	0	# sent_id = reviews-329692-0006 # text = There were 2 in our group, and a 3rd person was also in the parking lot waiting for this class. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
dining experience	24.15	0	# sent_id = reviews-187266-0006 # text = Our friend is a world traveler and loves unpretentious dining experiences and inspired food. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
bedroom suite	24.15	0	# sent_id = reviews-026883-0009 # text = I spent $2300 on the bedroom suite, which was complete and excellent condition on the showroom floor. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
dress name	24.15	0	# sent_id = reviews-211797-0005 # text = So, as I was leaving I asked for the designer/dress name or style number associated with my top picks. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
wheel lock	24.15	0	"# sent_id = reviews-319816-0021 # text = A few minutes after I left, I was called and informed that ""I"" left my wheel lock (which they should have left in the car). 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31"
grenade launcher	17.49	0	# sent_id = weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0051 # text = Among the weapons intercepted were two rocket-propelled-grenade launchers, 20 assault rifles, M-79 grenade launchers and more than 10,000 rounds of ammunition. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
